,Salinty
2018-12-18,0.03220756193660965
2018-12-23,0.17799204237130253
2018-12-28,0.040495121886946484
2019-01-02,0.09349688998708848
2019-01-07,0.06439338396631968
2019-01-12,0.21890641113381681
2019-01-17,0.10719381835223275
2019-01-22,0.10173667358776275
2019-01-27,0.0726998097327058
2019-02-01,0.09887622931848011
2019-02-06,0.05119108405472202
2019-02-11,0.21328972159544785
2019-02-16,0.03393840123119737
2019-02-21,0.05565319266362955
2019-02-26,0.003934239865029281
2019-03-08,0.09710515052767502
2019-03-13,0.08350544329177609
2019-03-18,-0.025675729932517002
2019-03-23,0.03817871845216599
2019-03-28,0.08963985239028491
2019-04-02,0.09562465296223692
2019-04-07,0.0718244644430727
2019-04-12,0.09631797561501092
2019-04-17,0.068451042727768
2019-04-22,0.06478426230641791
2019-04-27,0.05478624619023048
2019-05-02,0.09766444583876299
2019-05-07,0.06760663334167706
2019-05-12,0.08739879915401028
2019-05-17,0.07737055559491503
2019-05-22,0.11731605579513044
2019-05-27,0.049763124155140205
2019-06-01,0.09667022002341336
2019-06-06,0.056856207553522706
2019-06-11,0.10367150060874249
2019-10-04,0.05967739433372392
2019-10-09,0.08427636638821834
2019-10-14,0.12011472666182431
2019-11-23,0.10254056663103439
2019-11-28,0.1737171672792254
2019-12-03,0.1747630087625752
2019-12-08,0.23400773293121055
2019-12-13,0.14174069870992614
2019-12-18,0.18506120974219242
2019-12-23,0.11513874103186515
2019-12-28,0.1687922601580808
2020-01-12,0.08388234590834304
2020-01-17,0.12359293422567541
2020-02-01,0.11595866764189466
2020-02-06,0.10700794267447096
2020-02-11,0.06830865056662117
2020-02-16,0.07146550603369949
2020-02-21,-0.005236423135218228
2020-02-26,0.11471578519804103
2020-03-02,0.03595720029888082
2020-03-07,0.08140101497764715
2020-03-12,0.0032934703592188944
2020-03-17,-0.04040898096391547
2020-03-22,-0.059387193912953336
2020-04-01,0.05805325113376743
2020-04-06,0.11508007750374583
2020-04-11,0.09864863627176367
2020-04-16,0.12314021610452697
2020-04-21,0.048457864443164196
2020-04-26,0.0975573946279148
2020-05-01,0.07417789431118633
2020-05-06,0.10058288354234568
2020-05-11,0.07157312283368064
2020-05-16,0.08725274910725662
2020-05-21,0.07675296047677607
2020-05-26,0.09107240904729683
2020-05-31,0.04693458552737926
2020-06-05,0.10663725619962015
2020-06-10,0.10697268231916338
2020-06-30,0.11866849285990053
2020-09-28,0.09494287107754558
2020-10-18,0.15043242765497672
2020-10-23,0.16374050065619825
2020-10-28,0.1115862217744921
2020-11-02,0.12999467024208974
2020-11-07,0.09364716968602667
2020-11-12,0.14082914468769372
2020-11-17,0.12729439789230815
2020-11-22,0.1872267572656773
2020-11-27,0.1283223151184419
2020-12-02,0.18525499557196354
2020-12-07,0.09175023636660352
2020-12-17,0.0989718263255398
2020-12-22,0.16119206052967266
2020-12-27,0.06594913745005739
2021-01-01,0.14086057892517098
2021-01-06,0.20500545965312256
2021-01-16,0.20586086354329308
2021-01-21,0.1495373603863847
2021-01-26,0.11414291451553357
2021-01-31,0.08016999280516988
2021-02-05,-0.01179144777688332
2021-02-10,0.15723159798909903
2021-02-15,0.009266106142885675
2021-02-20,0.09382848149810587
2021-02-25,0.02681466964697893
2021-03-02,0.05272975773459269
2021-03-07,0.009951994152287735
2021-03-17,0.023441051302006594
2021-03-27,0.15579598086835486
2021-04-01,0.10937801355408092
2021-04-06,0.06355434771589301
2021-04-11,0.10443968965113049
2021-04-16,0.11792990985414219
2021-04-26,0.09056587262705117
2021-05-06,0.07917701145820676
2021-05-11,0.09297931882687295
2021-05-16,0.04675061455176942
2021-05-21,0.09406229964748634
2021-05-26,0.05559635811616318
2021-07-05,0.09500842791620029
2021-10-13,0.1437655619493762
2021-10-23,0.10741339900339737
2021-10-28,0.07644995279272303
2021-11-02,0.10854282291445838
2021-11-07,0.13594302017666626
2021-11-12,0.04383579800464826
2021-11-27,0.1370717248931322
2021-12-07,0.11139466283713048
2021-12-12,0.24777426738103167
2021-12-22,0.16550833875467433
2021-12-27,0.13624847529392836
2022-01-21,0.09834583463951693
2022-01-26,0.076356208381791
2022-01-31,0.009350096359674652
2022-02-05,0.010732630639997043
2022-02-10,0.01095013950058499
2022-02-15,0.011540241746792447
2022-02-20,0.04698066996380564
2022-03-02,0.004323763252751447
2022-03-12,0.0024150951188749124
2022-03-17,0.00942186280443338
2022-03-22,0.005589220761859929
2022-03-27,0.03362917938191614
2022-04-01,0.017651552928462873
2022-04-06,0.018201331336872267
2022-04-16,0.011498250709180228
2022-04-26,0.02465025939008086
2022-05-01,0.020379379912502073
2022-05-06,0.05133888219922116
2022-05-11,0.03115450628691864
2022-05-16,0.03422712448400838
2022-05-21,0.023915129622386167
2022-05-26,0.038103359725159706
2022-05-31,0.0402080628012167
2022-10-03,0.045420452367316906
2022-10-13,0.020750935045233076
2022-10-18,0.009540392805605128
2022-10-23,0.01781985723213418
2022-10-28,0.017053424911530276
2022-11-02,0.021711406406568438
2022-11-07,0.02154712967708415
2022-11-12,0.026675527493616288
2022-11-17,0.033305730026761245
2022-11-22,0.012377976805301038
2022-11-27,0.008022778777963192
2022-12-02,0.014207125408799494
2022-12-07,0.011204296706695436
2022-12-17,0.011836199310192695
2022-12-22,0.01252502052930491
2022-12-27,0.00884403921600853
